Year,Rating,Votes,Metascore,Action,Adventure,Aniimation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sport,Thriller,War,Western,Success
2016,7.2,89849,68,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,7.1,78079,60,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,7.5,39134,76,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,6.8,43977,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,8.1,296853,78,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,7.1,498821,50,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2012,8.1,1045588,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,8.3,959065,69,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2006,7.3,552027,53,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2016,5.3,147717,60,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,8.8,1583625,74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,7.9,105081,72,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8.2,865134,75,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,8.1,636243,79,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2015,7.2,301249,67,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2015,7,455169,59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,6.4,27869,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7.8,935408,83,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2015,7.8,341170,68,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,7.4,162122,51,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8.1,431185,74,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,7,187547,32,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011,8.1,342429,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,7.1,106463,57,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7.4,516895,66,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,7.4,175067,70,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,8.6,34110,79,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,5.8,9247,62,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2016,6.3,10181,77,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2006,8.5,937414,85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2015,7,108836,55,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,570814,57,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2015,8,556097,80,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,7.3,202973,56,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7.7,115546,88,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,5.4,1954,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.3,117590,44,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7.7,339797,78,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,6.3,3712,44,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2013,8.1,486338,96,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2006,7.7,637104,52,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2011,8.1,590595,87,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2016,5.8,30761,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.2,50359,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2016,7.2,192968,76,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2016,7.4,157026,77,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.7,101058,57,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014,6.7,362093,48,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,6,53183,51,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,8.5,1222645,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2016,7.5,198243,77,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2014,5.7,255483,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.6,69651,58,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,6.4,153481,51,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
2015,8,499424,76,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2016,7.3,50953,79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,109756,69,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.4,78328,59,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2014,8.5,477276,88,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,7.1,318051,61,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2012,7.3,200090,68,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2007,8.1,660286,91,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,7.3,386102,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2010,8.1,855604,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2009,8,526324,82,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,6.2,34184,56,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,7.8,246360,81,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,8.2,224132,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,8.4,1039115,81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2016,8.1,33418,84,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2016,7.4,47694,77,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7.6,410249,56,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2007,7.6,442082,76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,6.2,97623,42,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.4,50853,66,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2012,7.2,735604,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2016,5.8,4299,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7.6,243230,82,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,4.7,97618,29,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013,7,400519,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,7.4,396714,68,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,7.5,291457,69,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2007,7.9,373244,81,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
